	location	name	open_time	tele
73	Shop 330 L3 Phase I	ESTÉE LAUDER	10:00-22:00	26920882
74	Shop 642 L6 Phase I	Eu Yan Sang	11:00-22:00	25721119
75	Shop 409 L4 Phase I	EVISU	11:00-22:00	21748678
76	Shop 504 L5 Phase I	FILA	10:00-22:00 (Mon-Sun & PH)	23212923
77	Shop 605 L6 Phase I	FOCO Headphone pro-shop	11:00-21:30	21114099
78	Shop 635-636 L6 Phase I	Fortress World	10:30-22:00 (Mon-Fri) 10:30-22:30 (Sat-Sun&PH)	26947866
79	Shop 639 L6 Phase I	Fotomax	10:00-21:30	26988609
80	Shop 305 L3 Phase I	Fresh	10:00-22:00	23360688
81	Shop 388 L3 Phase I	FURLA	11:00-22:00	26901982
82	Shop A322a L3 Phase III	G-Factory	Mon - Thur 10:00 - 22:00 Fri - Sun & PH 10:00 - 22:30	26044173
83	Shop 479 L4 Phase I	G2000 / G2000 Black	10:30-22:30 (Mon-Thu) 10:00-23:00 (Fri-Sun & PH)	26795516
84	Shop 247&369 L3 Phase I	GAP	10:00-22:30 (Mon-Fri) 10:00-23:00 (Sat-Sun & PH)	26090119
85	Shop 539 L5 Phase I	GEOX	10:00-22:00	26028229
86	Shop 483 L4 Phase I	giordano ladies	11:00-22:00	29294350
87	Shop 465 L4 Phase I	Giorgio Armani Cosmetics	10:00-22:00 (Sun-Thu & PH) 10:00-22:30 (Fri-Sat)	26055100
88	Shop A331, A332, A332a L3 Phase III	Global Timepieces	11:00 - 21:00	26041488
89	Shop 238 L2 Phase I	Global Timepieces	10:30-22:00	
90	Shop 250&359 L3 Phase I	GLOBAL WORK	11:00-22:30	26022099
91	Shop 215B L2 Phase I	Guerlain	10:00-22:00	31010459
92	Shop 455-457 L4 Phase I	H&M	10:30-22:30	26067708
93	Shop 536 L5 Phase I	Haglöfs	11:00-22:00 (Mon-Sun & PH)	26173611
94	Shop A369 L3 Phase III	Hiroshima	Mon - Fri 11:00 - 21:30 ; Sat - Sun & PH 11:00 - 22:00	35759990
95	Shop A391 L3 Phase III	HOUSE OF AVENUES	11:00 - 22:00	28655955
96	Shop 411A&412 L4 Phase I	i.t	11:30-22:30	26970510
97	Shop 358 L3 Phase I	initial	11:00-22:00	26021055
98	Shop 488A L4 Phase I	intimissimi	10:00-22:00	35808138
