	0	1	2
142	LOUIS VUITTON	Shop no. 211-12	2F
143	M dreams by Melissa	Shop no. 505-06	5F
144	M.A.C	Shop no. B225A	b2F
145	MaBelle	Shop no. B221C	b2F
146	Mad For Garlic	Shop no. 1104	11F
147	Madia	Shop no. 508	5F
148	maje	Shop no. 522-23	5F
149	MAKE UP FOR EVER	Shop no. B206B	B2F
150	Marathon	Shop no. 701	7F
151	Marks & Spencer	Shop no. 715-716 & 717-720	7F
152	MARKS & SPENCER KIDSWEAR	Shop no. Suite 1304	13AF
153	MAX & CO.	Shop no. 516	5F
154	Max Mara	Shop no. 313	3F
155	MCM	Shop no. 324-325	3F
156	Merrell	Shop no. 732	7F
157	Metrobooks	Shop no. 927	9F
158	MetroKids by Metrobooks	Shop no. Shop A	9sF
159	Michael Kors	Shop no. 428	4F
160	MIKIMOTO	Shop no. 309	3F
161	MLB Korea	Shop no. B209	b2F
162	Modern China Restaurant	Shop no. 1301	13F
163	MONTBLANC	Shop no. 312	3F
164	My Catalog	Shop no. 607-8	6F
165	Nha Trang Vietnamese Cuisine	Shop no. 1303	13F
166	Niessing	Shop no. 507	5F
167	Nike	Shop no. 601-2A	6F
168	OGAWA	Shop no. 923	9F
169	OMEGA	Shop no. 804	8F
170	Origins	Shop no. B202	B2F
171	OTO	Shop no. 911	9F
172	Oysho	Shop no. B213 - B214	b2F
173	Pak Loh Chiu Chow	Shop no. 1002	10F
174	Pak Shing Tong	Shop no. 916A	9F
175	PANDORA	Shop no. B208	B2F
176	Parsons Music	Shop no. 901	9F
177	Partytime	Shop no. Suite 1301A	13AF
178	Petit Pret	Shop no. B301	b3F
179	PETITE HOUSE	Shop no. Kiosk 3/F	3F
180	Phase Eight	Shop no. 521B	5F
181	Piquadro Italy	Shop no. 602B	6F
182	PizzaExpress	Shop no. 1203	12F
183	POLA	Shop no. B205	b2F
184	Porter International	Shop no. 909	9F
185	Proteca & ACE	Shop no. 807-8	8F
186	RABEANCO	Shop no. 531	5F
187	Rag Mart	Shop no. Suite1301B	13AF
188	Rayban	Shop no. B247	b2F
189	Repetto	Shop no. 405-6	4F
190	Rockport	Shop no. 603	6F
191	Saint Laurent	Shop no. 308	3F
192	Salad	Shop no. 614	6F
193	Salvatore Ferragamo	Shop no. G124-5	gF
194	SAMSONITE	Shop no. 817	8F
195	San Xi Lou	Shop no. 1102	11F
196	Sandro	Shop no. 409-412	4F
197	Sanrio Gift Gate	Shop no. 920	9F
198	Sen-ryo	Shop no. B222	B2F
199	SHANGHAI MIN 1987	Shop no. 1103	11F
200	shu uemura	Shop no. B207A	B2F
201	Sinequanone	Shop no. 532	5F
202	Skandiastyle	Shop no. 501	5F
203	SKECHERS	Shop no. 731	7F
204	Smiggle	Shop no. B232	b2F
205	STACCATO	Shop no. B244	b2F
206	Starbucks Coffee	Shop no. Kiosk 9/F	9F
207	Stuart Weitzman	Shop no. 322 - 323	3F
208	SUGARMAN	Shop no. 623-624	6F
209	Sulwhasoo	Shop no. 423-24	4F
210	Sulwhasoo	Shop no. 1501-3	15F
211	Suning	Shop no. 828-9	8F
212	Swatch	Shop no. B203A	b2F
213	The Body Shop	Shop no. B220	B2F
214	TIFFANY & CO.	Shop no. G128	gF
215	Timberland	Shop no. 728-29	7F
216	Times Square Very Important Customer (VIC) Lounge	Shop no. 1505	15F
217	Tom N Toms Coffee	Shop no. Kiosk 8/F	8F
218	Tommy Hilfiger	Shop no. 520	5F
219	TORY BURCH	Shop no. 422	4F
220	Tresor Rare	Shop no. B243	b2F
221	TROLLBEADS	Shop no. 919A	9F
222	Trussardi Jeans	Shop no. 604	6F
223	TSL Jewellery	Shop no. B212B	b2F
224	UA CINE TIMES	Shop no. 13/F	13F
225	VANS	Shop no. 724	7F
226	via il colpo	Shop no. 827	8F
227	Victorinox	Shop no. 722-23	7F
228	Vivienne Westwood	Shop no. 417	4F
229	watsons baby	Shop no. Suite 1303A	13AF
230	Watsons health	Shop no. 928	9F
231	WEEKEND MaxMara	Shop no. 515B	5F
232	Whistles	Shop no. 521A	5F
233	Wonder Photo Shop Fujifilm Fotomax	Shop no. 825	8F
234	Y-3	Shop no. 430-431	4F
235	Yolé	Shop no. B201	b2F
236	ZARA	Shop no. 414-416 & 418-421	4F
237	Zushi ANA	Shop no. 1202	12F
